Hour,Solar Power Output (kWh)
725,0.0
726,0.0
727,0.0
728,0.0
729,30.896
730,1705.432
731,4116.819
732,5517.094
733,6191.492
734,5728.985
735,5075.085
736,3853.632
737,1064.305
738,23.394
739,0.0
740,0.0
741,0.0
742,0.0
743,0.0
744,0.0
745,0.0
746,0.0
747,0.0
748,0.0
749,0.0
750,0.0
751,0.0
752,0.0
753,0.0
754,566.43
755,2748.548
756,4269.708
757,3507.702
758,3782.29
759,4674.384
760,3463.888
761,1838.883
762,85.997
763,0.0
764,0.0
765,0.0
766,0.0
767,0.0
768,0.0
769,0.0
770,0.0
771,0.0
772,0.0
773,0.0
774,0.0
775,0.0
776,0.0
777,0.0
778,406.082
779,3995.612
780,4450.727
781,5253.154
782,5620.292
783,4977.608
784,1421.621
785,2558.423
786,116.288
787,0.0
788,0.0
789,0.0
790,0.0
791,0.0
792,0.0
793,0.0
794,0.0
795,0.0
796,0.0
797,0.0
798,0.0
799,0.0
800,0.0
801,55.43
802,864.71
803,3848.355
804,4185.249
805,3330.912
806,3707.978
807,2275.242
808,2583.817
809,693.075
810,27.026
811,0.0
812,0.0
813,0.0
814,0.0
815,0.0
816,0.0
817,0.0
818,0.0
819,0.0
820,0.0
821,0.0
822,0.0
823,0.0
824,0.0
825,169.991
826,334.413
827,798.549
828,2387.016
829,1641.089
830,2225.564
831,2055.942
832,1003.716
833,324.285
834,0.0
835,0.0
836,0.0
837,0.0
838,0.0
839,0.0
840,0.0
841,0.0
842,0.0
843,0.0
844,0.0
845,0.0
846,0.0
847,0.0
848,0.0
849,13.172
850,496.218
851,1155.869
852,3688.977
853,3925.832
854,2932.315
855,2120.064
856,2848.639
857,2161.671
858,123.134
859,0.0
860,0.0
861,0.0
862,0.0
863,0.0
864,0.0
865,0.0
866,0.0
867,0.0
868,0.0
869,0.0
870,0.0
871,0.0
872,0.0
873,0.0
874,836.44
875,919.784
876,1116.215
877,1311.923
878,1955.358
879,1742.327
880,2560.797
881,1783.336
882,172.514
883,0.0
884,0.0
885,0.0
886,0.0
887,0.0
888,0.0
889,0.0
890,0.0
891,0.0
892,0.0
893,0.0
894,0.0
895,0.0
896,0.0
897,12.424
898,427.074
899,3086.515
900,3572.092
901,4856.238
902,6801.299
903,5169.274
904,4038.129
905,1753.334
906,166.061
907,0.0
908,0.0
909,0.0
910,0.0
911,0.0
912,0.0
913,0.0
914,0.0
915,0.0
916,0.0
917,0.0
918,0.0
919,0.0
920,0.0
921,0.0
922,656.102
923,2461.444
924,1260.823
925,2150.04
926,1332.878
927,1215.075
928,2421.912
929,176.219
930,0.0
931,0.0
932,0.0
933,0.0
