Month,Day,Hour,Solar Energy (kWh),Wind Energy (kWh),Grid Energy (kWh),Total Cost ($)
1.0,8.0,15.0,100.0,0.0,0.0,5000.0
1.0,8.0,16.0,100.0,0.0,0.0,5000.0
1.0,8.0,17.0,0.0,100.0,0.0,5200.0
1.0,8.0,18.0,0.0,100.0,0.0,5200.0
1.0,8.0,19.0,0.0,100.0,0.0,5200.0
1.0,8.0,20.0,0.0,100.0,0.0,5200.0
1.0,8.0,21.0,0.0,100.0,0.0,5200.0
1.0,8.0,22.0,0.0,100.0,0.0,5200.0
1.0,8.0,23.0,0.0,100.0,0.0,5200.0
1.0,9.0,0.0,0.0,100.0,0.0,5200.0
1.0,9.0,1.0,0.0,100.0,0.0,5200.0
1.0,9.0,2.0,0.0,100.0,0.0,5200.0
1.0,9.0,3.0,0.0,100.0,0.0,5200.0
1.0,9.0,4.0,0.0,100.0,0.0,5200.0
1.0,9.0,5.0,0.0,100.0,0.0,5200.0
1.0,9.0,6.0,0.0,100.0,0.0,5200.0
1.0,9.0,7.0,0.0,100.0,0.0,5200.0
1.0,9.0,8.0,0.0,100.0,0.0,5200.0
1.0,9.0,9.0,0.0,100.0,0.0,5200.0
1.0,9.0,10.0,100.0,0.0,0.0,5000.0
1.0,9.0,11.0,100.0,0.0,0.0,5000.0
1.0,9.0,12.0,100.0,0.0,0.0,5000.0
1.0,9.0,13.0,100.0,0.0,0.0,5000.0
1.0,9.0,14.0,100.0,0.0,0.0,5000.0
1.0,9.0,15.0,100.0,0.0,0.0,5000.0
1.0,9.0,16.0,100.0,0.0,0.0,5000.0
1.0,9.0,17.0,0.0,100.0,0.0,5200.0
1.0,9.0,18.0,0.0,100.0,0.0,5200.0
1.0,9.0,19.0,0.0,100.0,0.0,5200.0
1.0,9.0,20.0,0.0,100.0,0.0,5200.0
1.0,9.0,21.0,0.0,100.0,0.0,5200.0
1.0,9.0,22.0,0.0,100.0,0.0,5200.0
1.0,9.0,23.0,0.0,100.0,0.0,5200.0
1.0,10.0,0.0,0.0,100.0,0.0,5200.0
1.0,10.0,1.0,0.0,100.0,0.0,5200.0
1.0,10.0,2.0,0.0,100.0,0.0,5200.0
1.0,10.0,3.0,0.0,100.0,0.0,5200.0
1.0,10.0,4.0,0.0,100.0,0.0,5200.0
1.0,10.0,5.0,0.0,100.0,0.0,5200.0
1.0,10.0,6.0,0.0,100.0,0.0,5200.0
1.0,10.0,7.0,0.0,100.0,0.0,5200.0
1.0,10.0,8.0,0.0,100.0,0.0,5200.0
1.0,10.0,9.0,100.0,0.0,0.0,5000.0
1.0,10.0,10.0,100.0,0.0,0.0,5000.0
1.0,10.0,11.0,100.0,0.0,0.0,5000.0
1.0,10.0,12.0,100.0,0.0,0.0,5000.0
1.0,10.0,13.0,100.0,0.0,0.0,5000.0
1.0,10.0,14.0,100.0,0.0,0.0,5000.0
1.0,10.0,15.0,100.0,0.0,0.0,5000.0
1.0,10.0,16.0,100.0,0.0,0.0,5000.0
