Year,Month,Day,Hour,Minute,wind_speed,power_raw,power_output
2023,1,9,8,0,4.41,8561.724274239301,1500.0
2023,1,9,9,0,5.2,14036.392374003246,1500.0
2023,1,9,10,0,5.19,13955.568816609073,1500.0
2023,1,9,11,0,5.37,15458.534736657457,1500.0
2023,1,9,12,0,5.39,15631.899875188625,1500.0
2023,1,9,13,0,4.7,10364.277746971291,1500.0
2023,1,9,14,0,5.83,19781.131651934633,1500.0
2023,1,9,15,0,5.68,18293.233430939916,1500.0
2023,1,9,16,0,6.07,22326.031971311288,1500.0
2023,1,9,17,0,6.2700000000000005,24606.400679868155,1500.0
2023,1,9,18,0,7.11,35880.15176029266,1500.0
2023,1,9,19,0,8.14,53841.69006981307,1500.0
2023,1,9,20,0,8.35,58117.22851420463,1500.0
2023,1,9,21,0,10.23,106874.07532496749,1500.0
2023,1,9,22,0,9.98,99228.65231122394,1500.0
2023,1,9,23,0,10.33,110038.948984042,1500.0
2023,1,10,0,0,10.66,120925.27485108473,1500.0
2023,1,10,1,0,11.77,162770.18520175014,1500.0
2023,1,10,2,0,10.66,120925.27485108473,1500.0
2023,1,10,3,0,10.86,127860.07205904573,1500.0
2023,1,10,4,0,9.58,87769.17099371199,1500.0
2023,1,10,5,0,8.85,69195.09042272766,1500.0
2023,1,10,6,0,9.0,72773.45556901717,1500.0
2023,1,10,7,0,9.69,90827.38282508805,1500.0
2023,1,10,8,0,8.07,52464.56462805838,1500.0
2023,1,10,9,0,5.75,18977.937112230622,1500.0
2023,1,10,10,0,5.28,14694.243648453119,1500.0
2023,1,10,11,0,4.25,7663.2370372638325,1500.0
2023,1,10,12,0,4.58,9590.514429852576,1500.0
2023,1,10,13,0,4.2,7395.939336347523,1500.0
2023,1,10,14,0,4.08,6779.941683400655,1500.0
2023,1,10,15,0,3.62,4735.558224409103,1500.0
2023,1,10,16,0,4.87,11530.080853270358,1500.0
2023,1,10,17,0,4.1,6880.1362568892055,1500.0
2023,1,10,18,0,4.62,9843.995256678554,1500.0
2023,1,10,19,0,4.32,8048.161998288748,1500.0
2023,1,10,20,0,3.78,5391.639776197343,1500.0
2023,1,10,21,0,3.38,3854.7442557106415,1500.0
2023,1,10,22,0,2.88,2384.640592085554,1500.0
2023,1,10,23,0,4.72,10497.151495240463,1500.0
2023,1,11,0,0,6.69,29889.85597607923,1500.0
2023,1,11,1,0,7.52,42452.081651594395,1500.0
2023,1,11,2,0,6.48,27162.54674422452,1500.0
2023,1,11,3,0,5.86,20088.074814083455,1500.0
2023,1,11,4,0,5.68,18293.233430939916,1500.0
2023,1,11,5,0,5.89,20398.176883266602,1500.0
2023,1,11,6,0,6.6000000000000005,28699.694625885004,1500.0
2023,1,11,7,0,10.12,103463.4620779682,1500.0
2023,1,11,8,0,9.5,85588.67142453512,1500.0
2023,1,11,9,0,10.51,115892.04254668934,1500.0
2023,1,11,10,0,7.85,48289.692436959966,1500.0
2023,1,11,11,0,4.53,9279.83117128901,1500.0
2023,1,11,12,0,3.47,4170.939529531683,1500.0
2023,1,11,13,0,5.04,12780.18317320852,1500.0
2023,1,11,14,0,4.23,7555.558477542073,1500.0
2023,1,11,15,0,5.14,13556.101942251298,1500.0
2023,1,11,16,0,4.47,8915.958502817582,1500.0
2023,1,11,17,0,5.26,14527.895308539153,1500.0
2023,1,11,18,0,4.53,9279.83117128901,1500.0
2023,1,11,19,0,5.92,20711.4540313631,1500.0
2023,1,11,20,0,6.24,24254.886022277613,1500.0
2023,1,11,21,0,3.98,6293.53548624133,1500.0
2023,1,11,22,0,4.21,7448.893355571935,1500.0
2023,1,11,23,0,4.13,7032.2714118505455,1500.0
2023,1,12,0,0,4.09,6829.91648313535,1500.0
2023,1,12,1,0,2.53,1616.6165949682531,1500.0
2023,1,12,2,0,2.17,1020.0575405978195,1020.0575405978195
2023,1,12,3,0,4.44,8737.64466948131,1500.0
2023,1,12,4,0,4.58,9590.514429852576,1500.0
2023,1,12,5,0,2.18,1034.224805400151,1034.224805400151
2023,1,12,6,0,3.34,3719.502624909096,1500.0
2023,1,12,7,0,7.640000000000001,44516.964664286934,1500.0
2023,1,12,8,0,11.33,145189.49634008994,1500.0
2023,1,12,9,0,10.37,111322.18918113162,1500.0
2023,1,12,10,0,11.73,161116.30949596828,1500.0
2023,1,12,11,0,12.69,204000.07889363586,1500.0
2023,1,12,12,0,11.64,157436.13159002457,1500.0
2023,1,12,13,0,10.17,105004.60072016816,1500.0
2023,1,12,14,0,10.61,119231.66833248663,1500.0
2023,1,12,15,0,12.87,212804.64818910896,1500.0
2023,1,12,16,0,12.93,215794.83400967115,1500.0
2023,1,12,17,0,13.4,240192.73324888133,1500.0
2023,1,12,18,0,12.25,183507.46472563662,1500.0
2023,1,12,19,0,12.06,175100.5025384345,1500.0
2023,1,12,20,0,11.2,140248.9237114789,1500.0
2023,1,12,21,0,10.63,119907.20026236818,1500.0
2023,1,12,22,0,9.25,79007.9270605587,1500.0
2023,1,12,23,0,9.47,84780.38923165818,1500.0
2023,1,13,0,0,9.71,91390.94306050129,1500.0
2023,1,13,1,0,8.73,66418.36801454161,1500.0
2023,1,13,2,0,9.73,91956.8296506588,1500.0
2023,1,13,3,0,8.65,64609.11489170866,1500.0
2023,1,13,4,0,8.58,63053.229093069334,1500.0
2023,1,13,5,0,10.65,120585.27896371532,1500.0
2023,1,13,6,0,9.86,95692.12830813573,1500.0
2023,1,13,7,0,9.85,95401.27097463365,1500.0
2023,1,13,8,0,10.2,105936.58880313521,1500.0
2023,1,13,9,0,11.27,142895.0606922765,1500.0
2023,1,13,10,0,11.28,143275.77557413108,1500.0
2023,1,13,11,0,10.08,102241.46538566815,1500.0
2023,1,13,12,0,11.19,139873.592268461,1500.0
2023,1,13,13,0,10.89,128922.61572130365,1500.0
2023,1,13,14,0,10.38,111644.55053287258,1500.0
2023,1,13,15,0,9.75,92525.04738722843,1500.0
2023,1,13,16,0,10.07,101937.47708536412,1500.0
2023,1,13,17,0,9.38,82386.10750436631,1500.0
2023,1,13,18,0,10.35,110679.32923852897,1500.0
2023,1,13,19,0,10.44,113591.79570385661,1500.0
2023,1,13,20,0,10.31,109401.04362600291,1500.0
2023,1,13,21,0,9.31,80555.37283540105,1500.0
2023,1,13,22,0,9.13,75972.74208819863,1500.0
2023,1,13,23,0,9.24,78751.96205342843,1500.0
2023,1,14,0,0,8.42,59591.14684457548,1500.0
2023,1,14,1,0,8.22,55444.812828965645,1500.0
2023,1,14,2,0,7.69,45396.72137143816,1500.0
2023,1,14,3,0,7.81,47555.26112613482,1500.0
2023,1,14,4,0,7.85,48289.692436959966,1500.0
2023,1,14,5,0,8.08,52659.84196387044,1500.0
2023,1,14,6,0,7.21,37415.47501476398,1500.0
2023,1,14,7,0,6.15,23220.45986700108,1500.0
2023,1,14,8,0,4.34,8160.460324782556,1500.0
